id_venda,id_cliente,data_venda,valor_total
1,,2024-08-01 00:00:00,238.76
2,2704.0,01/08/2024 00:00:00,267.2
3,1036.0,2024-08-01 00:00:00,637.39
4,2832.0,2024-08-01 00:00:00,441.94
5,668.0,2024-08-01 00:00:00,81.79
6,1146.0,2024-08-01 00:00:00,41.68
7,90.0,2024-08-01 00:00:00,98.29
8,540.0,2024-08-01 00:00:00,16.18
9,41.0,2024-08-01 00:00:00,60.21
10,1947.0,2024-08-01 00:00:00,239.57
11,1225.0,2024-08-01 00:00:00,74.08
12,2509.0,2024-08-01 00:00:00,230.87
13,925.0,01/08/2024 00:00:00,28.59
14,390.0,01/08/2024 00:00:00,598.35
15,256.0,2024-08-01 00:00:00,174.05
16,1945.0,2024-08-01 00:00:00,108.34
17,2872.0,2024-08-02 00:00:00,418.56
18,877.0,2024-08-02 00:00:00,36.03
19,1016.0,2024-08-02 00:00:00,94.47
20,2194.0,2024-08-02 00:00:00,872.86
21,2225.0,2024-08-02 00:00:00,94.56
22,63.0,2024-08-02 00:00:00,99.84
23,2875.0,02/08/2024 00:00:00,369.18
24,1485.0,2024-08-02 00:00:00,13.12
25,2153.0,2024-08-02 00:00:00,107.17
26,385.0,2024-08-02 00:00:00,10.0
27,2871.0,2024-08-02 00:00:00,400.09
28,2001.0,2024-08-02 00:00:00,152.86
29,1669.0,2024-08-02 00:00:00,1138.97
30,1461.0,2024-08-02 00:00:00,175.97
31,2725.0,2024-08-02 00:00:00,283.01
32,83.0,2024-08-02 00:00:00,56.83
33,2505.0,2024-08-02 00:00:00,27.66
34,51.0,2024-08-02 00:00:00,64.24
35,1470.0,2024-08-02 00:00:00,421.11
36,488.0,2024-08-02 00:00:00,192.53
37,2143.0,2024-08-02 00:00:00,24.11
38,2202.0,2024-08-02 00:00:00,137.9
39,438.0,2024-08-02 00:00:00,295.96
40,268.0,2024-08-02 00:00:00,338.98
41,236.0,2024-08-02 00:00:00,164.62
42,763.0,2024-08-02 00:00:00,103.33
43,624.0,2024-08-02 00:00:00,130.8
44,2967.0,2024-08-03 00:00:00,281.41
45,2901.0,2024-08-03 00:00:00,203.98
